skill,path,category,priority,purpose,flow_use_case,expected_frequency,context_token_cost,overlap,security_risk,signals,recommendation,bytes
azure-identity-py,azure-identity-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,17685
azure-identity-rust,azure-identity-rust,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,6344
azure-identity-ts,azure-identity-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Authenticate to Azure services using Azure Identity library for JavaScript (@azure/identity). Use when configuring authentication with DefaultAzureCredential, managed identity, service principals, or interactive browser login.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,7954
azure-keyvault-certificates-rust,azure-keyvault-certificates-rust,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,7855
azure-keyvault-keys-rust,azure-keyvault-keys-rust,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,7537
azure-keyvault-keys-ts,azure-keyvault-keys-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Manage cryptographic keys using Azure Key Vault Keys SDK for JavaScript (@azure/keyvault-keys). Use when creating, encrypting/decrypting, signing, or rotating keys.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,6806
azure-keyvault-py,azure-keyvault-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,9594
azure-keyvault-secrets-rust,azure-keyvault-secrets-rust,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,5968
azure-keyvault-secrets-ts,azure-keyvault-secrets-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,Manage secrets using Azure Key Vault Secrets SDK for JavaScript (@azure/keyvault-secrets). Use when storing and retrieving application secrets or configuration values.,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,6799
azure-kubernetes,azure-kubernetes,F - DOMAIN-SPECIFIC / FUTURE,P3,"Plan, create, and configure production-ready Azure Kubernetes Service (AKS) clusters. Covers Day-0 checklist, SKU selection (Automatic vs Standard), networking options (private API server, Azure CNI Overlay, egress configuration), security,","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access; global/local config,Park for future integrations,10521
azure-kubernetes-automatic-readiness,azure-kubernetes/azure-kubernetes-automatic-readiness,G - DUPLICATE / OVERLAPPING,P3,"Assess Kubernetes workloads and cluster configuration for AKS Automatic compatibility. Identifies incompatibilities, generates fixes, and guides migration from AKS Standard to AKS Automatic. WHEN: migrate to AKS Automatic, check AKS Automat",Use system/root version first.,Rare,High,Duplicate or near-duplicate install exists,MEDIUM,remote dynamic instructions; credential handling; broad external access; global/local config,Investigate duplicate source before disabling,14758
azure-kubernetes-automatic-readiness,azure-kubernetes-automatic-readiness,G - DUPLICATE / OVERLAPPING,P3,"Assess Kubernetes workloads and cluster configuration for AKS Automatic compatibility. Identifies incompatibilities, generates fixes, and guides migration from AKS Standard to AKS Automatic. WHEN: migrate to AKS Automatic, check AKS Automat",Use system/root version first.,Rare,High,Duplicate or near-duplicate install exists,MEDIUM,remote dynamic instructions; credential handling; broad external access; global/local config,Investigate duplicate source before disabling,14758
azure-kusto,azure-kusto,F - DOMAIN-SPECIFIC / FUTURE,P3,"Query and analyze data in Azure Data Explorer (Kusto/ADX) using KQL for log analytics, telemetry, and time series analysis. WHEN: KQL queries, Kusto database queries, Azure Data Explorer, ADX clusters, log analytics, time series data, IoT t","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling,Park for future integrations,8593
azure-maps-search-dotnet,azure-maps-search-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,15645
azure-messaging,azure-messaging,F - DOMAIN-SPECIFIC / FUTURE,P3,"Troubleshoot and resolve issues with Azure Messaging SDKs for Event Hubs and Service Bus. Covers connection failures, authentication errors, message processing issues, and SDK configuration problems. WHEN: event hub SDK error, service bus S","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,3270
azure-messaging-webpubsub-java,azure-messaging-webpubsub-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build real-time web applications with Azure Web PubSub SDK for Java. Use when implementing WebSocket-based messaging, live updates, chat applications, or server-to-client push notifications.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,9509
azure-messaging-webpubsubservice-py,azure-messaging-webpubsubservice-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8101
azure-mgmt-apicenter-dotnet,azure-mgmt-apicenter-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,13436
azure-mgmt-apicenter-py,azure-mgmt-apicenter-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,9365
azure-mgmt-apimanagement-dotnet,azure-mgmt-apimanagement-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,10283
azure-mgmt-apimanagement-py,azure-mgmt-apimanagement-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8860
azure-mgmt-applicationinsights-dotnet,azure-mgmt-applicationinsights-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,18201
azure-mgmt-arizeaiobservabilityeval-dotnet,azure-mgmt-arizeaiobservabilityeval-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,"Azure Resource Manager SDK for Arize AI Observability and Evaluation (.NET). Use when managing Arize AI organizations \non Azure via Azure Marketplace, creating/updating/deleting Arize resources, or integrating Arize ML observability \ninto","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,7951
azure-mgmt-botservice-dotnet,azure-mgmt-botservice-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,10292
azure-mgmt-botservice-py,azure-mgmt-botservice-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/-,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,10262
azure-mgmt-fabric-dotnet,azure-mgmt-fabric-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,11589
azure-mgmt-fabric-py,azure-mgmt-fabric-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/-,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8886
azure-mgmt-mongodbatlas-dotnet,azure-mgmt-mongodbatlas-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,"Manage MongoDB Atlas Organizations as Azure ARM resources using Azure.ResourceManager.MongoDBAtlas SDK. Use when creating, updating, listing, or deleting MongoDB Atlas organizations through Azure Marketplace integration. This SDK manages th","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,11832
azure-mgmt-weightsandbiases-dotnet,azure-mgmt-weightsandbiases-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,11322
azure-microsoft-playwright-testing-ts,azure-microsoft-playwright-testing-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Run Playwright tests at scale using Azure Playwright Workspaces (formerly Microsoft Playwright Testing). Use when scaling browser tests across cloud-hosted browsers, integrating with CI/CD pipelines, or publishing test results to the Azure ","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,8796
azure-monitor-ingestion-java,azure-monitor-ingestion-java,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,8017
azure-monitor-ingestion-py,azure-monitor-ingestion-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,8012
azure-monitor-opentelemetry-exporter-java,azure-monitor-opentelemetry-exporter-java,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8754
azure-monitor-opentelemetry-exporter-py,azure-monitor-opentelemetry-exporter-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,9069
azure-monitor-opentelemetry-py,azure-monitor-opentelemetry-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,7870
azure-monitor-opentelemetry-ts,azure-monitor-opentelemetry-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Instrument applications with Azure Monitor and OpenTelemetry for JavaScript (@azure/monitor-opentelemetry). Use when adding distributed tracing, metrics, and logs to Node.js applications with Application Insights.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,8962
azure-monitor-query-java,azure-monitor-query-java,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,13784
azure-monitor-query-py,azure-monitor-query-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8564
azure-postgres-ts,azure-postgres-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,13376
azure-prepare,azure-prepare,F - DOMAIN-SPECIFIC / FUTURE,P3,"Prepare azd-based Azure projects for deployment: generates azure.yaml, infrastructure (Bicep/Terraform), and Dockerfiles for the Azure Developer CLI (azd) workflow. USE ONLY when the user explicitly wants to use azd as the deployment tool, ","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,12568
azure-quotas,azure-quotas,F - DOMAIN-SPECIFIC / FUTURE,P3,"Check/manage Azure quotas and usage across providers. For deployment planning, capacity validation, region selection. WHEN: \""check quotas\"", \""service limits\"", \""current usage\"", \""request quota increase\"", \""quota exceeded\"", \""validate ","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling,Park for future integrations,12005
azure-reliability,azure-reliability,F - DOMAIN-SPECIFIC / FUTURE,P3,"Assess and improve the reliability posture of PaaS Applications (Azure Functions and Azure App Service). Scans deployed resources for zone redundancy, ZRS storage, health probes, and multi-region failover. Presents a feature-pivoted checkli","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,23643
azure-resource-lookup,azure-resource-lookup,F - DOMAIN-SPECIFIC / FUTURE,P3,"List, find, and show Azure resources across subscriptions or resource groups. Handles prompts like \""list the websites in my subscription\"", \""list my web apps\"", \""show my app services\"", \""list virtual machines\"", \""list my VMs\"", \""show ","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling,Park for future integrations,5455
azure-resource-manager-cosmosdb-dotnet,azure-resource-manager-cosmosdb-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8545
azure-resource-manager-durabletask-dotnet,azure-resource-manager-durabletask-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,13021
azure-resource-manager-mysql-dotnet,azure-resource-manager-mysql-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,14046
azure-resource-manager-playwright-dotnet,azure-resource-manager-playwright-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,10503
azure-resource-manager-postgresql-dotnet,azure-resource-manager-postgresql-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,15937
azure-resource-manager-redis-dotnet,azure-resource-manager-redis-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,12121
azure-resource-manager-sql-dotnet,azure-resource-manager-sql-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,10428
azure-resource-visualizer,azure-resource-visualizer,F - DOMAIN-SPECIFIC / FUTURE,P3,"Analyze Azure resource groups and generate detailed Mermaid architecture diagrams showing the relationships between individual resources. WHEN: create architecture diagram, visualize Azure resources, show resource relationships, generate Me","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,8476
azure-search-documents-dotnet,azure-search-documents-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,10294
azure-search-documents-py,azure-search-documents-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,17745
azure-search-documents-ts,azure-search-documents-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build search applications using Azure AI Search SDK for JavaScript (@azure/search-documents). Use when creating/managing indexes, implementing vector/hybrid search, semantic ranking, or building agentic retrieval with knowledge bases.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Park for future integrations,7236
azure-security-keyvault-keys-dotnet,azure-security-keyvault-keys-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,12551
azure-security-keyvault-keys-java,azure-security-keyvault-keys-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Azure Key Vault Keys Java SDK for cryptographic key management. Use when creating, managing, or using RSA/EC keys, performing encrypt/decrypt/sign/verify operations, or working with HSM-backed keys.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,11671
azure-security-keyvault-secrets-java,azure-security-keyvault-secrets-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Azure Key Vault Secrets Java SDK for secret management. Use when storing, retrieving, or managing passwords, API keys, connection strings, or other sensitive configuration data.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,LOW-MEDIUM,remote dynamic instructions; credential handling,Park for future integrations,12229
azure-servicebus-dotnet,azure-servicebus-dotnet,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,11097
azure-servicebus-py,azure-servicebus-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,10348
azure-servicebus-ts,azure-servicebus-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build messaging applications using Azure Service Bus SDK for JavaScript (@azure/service-bus). Use when implementing queues, topics/subscriptions, message sessions, dead-letter handling, or enterprise messaging patterns.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,7246
azure-speech-to-text-rest-py,azure-speech-to-text-rest-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/-,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,12048
azure-storage,azure-storage,F - DOMAIN-SPECIFIC / FUTURE,P3,"Azure Storage Services including Blob Storage, File Shares, Queue Storage, Table Storage, and Data Lake. Answers questions about storage access tiers (hot, cool, cold, archive), when to use each tier, and tier comparison. Provides object st","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access,Park for future integrations,4898
azure-storage-blob-java,azure-storage-blob-java,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build blob storage applications with Azure Storage Blob SDK for Java. Use when uploading, downloading, or managing files in Azure Blob Storage, working with containers, or implementing streaming data operations.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,credential handling; broad external access,Park for future integrations,10888
azure-storage-blob-py,azure-storage-blob-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,9145
azure-storage-blob-rust,azure-storage-blob-rust,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,10808
azure-storage-blob-ts,azure-storage-blob-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,13074
azure-storage-file-datalake-py,azure-storage-file-datalake-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,8170
azure-storage-file-share-py,azure-storage-file-share-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/-,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,7252
azure-storage-file-share-ts,azure-storage-file-share-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; broad external access; global/local config,Park for future integrations,12779
azure-storage-queue-py,azure-storage-queue-py,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,7796
azure-storage-queue-rust,azure-storage-queue-rust,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,7606
azure-storage-queue-ts,azure-storage-queue-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,/,"Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,13884
azure-upgrade,azure-upgrade,F - DOMAIN-SPECIFIC / FUTURE,P3,"Assess and upgrade Azure workloads between plans, tiers, or SKUs, or modernize Azure SDK dependencies in source code. WHEN: upgrade Consumption to Flex Consumption, upgrade Azure Functions plan, change hosting plan, function app SKU, migrat","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,LOW-MEDIUM,credential handling,Park for future integrations,6155
azure-validate,azure-validate,F - DOMAIN-SPECIFIC / FUTURE,P3,"Pre-deployment validation for Azure readiness. Run deep checks on configuration, infrastructure (Bicep or Terraform), RBAC role assignments, managed identity permissions, and prerequisites before deploying. WHEN: validate my app, check depl","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling,Park for future integrations,3507
azure-web-pubsub-ts,azure-web-pubsub-ts,F - DOMAIN-SPECIFIC / FUTURE,P3,"Build real-time messaging applications using Azure Web PubSub SDKs for JavaScript (@azure/web-pubsub, @azure/web-pubsub-client). Use when implementing WebSocket-based real-time features, pub/sub messaging, group chat, or live notifications.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Medium,None obvious,MEDIUM,shell/package execution; credential handling; global/local config,Park for future integrations,8393
base44,base44-cli,F - DOMAIN-SPECIFIC / FUTURE,P3,"The base44 CLI is used for EVERYTHING related to base44 projects: resource configuration (entities, backend functions, ai agents), initialization and actions (resource creation, deployment). This skill is the place for learning about how to","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Park for future integrations,25587
base44-sdk,base44-sdk,F - DOMAIN-SPECIFIC / FUTURE,P3,"The base44 SDK is the library to communicate with base44 services. In projects, you use it to communicate with remote resources (entities, backend functions, ai agents) and to write backend functions. This skill is the place for learning ab","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,High,None obvious,MEDIUM,remote dynamic instructions; shell/package execution; credential handling; broad external access,Park for future integrations,11837
base44-troubleshooter,base44-troubleshooter,F - DOMAIN-SPECIFIC / FUTURE,P3,"Troubleshoot production issues using backend function logs. Use when investigating app errors, debugging function calls, or diagnosing production problems in Base44 apps.","Potential future connector/provider/domain work, not core Flow foundation.",Rare until integration exists,Low,None obvious,MEDIUM,shell/package execution; credential handling,Park for future integrations,1427
batch-draft-writer,batch-draft-writer,E - INFRASTRUCTURE / DEPLOYMENT,P2,"Drafts multiple email replies or follow-ups in batch using the Superhuman Mail MCP server — processing your inbox in bulk rather than one email at a time. Use this skill whenever someone asks to ""draft replies to my unread emails"", ""respond","Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,High,None obvious,MEDIUM,credential handling; broad external access,Keep on-demand for infra/deploy,9041
beta,beta,B - TASK-TRIGGERED,P2,Beta fixture skill. Use when plugin-eval tests need the second bundled skill.,Use only when its described task is active.,Occasional,Low,None obvious,LOW,No notable risky pattern in sampled scan,Keep on-demand,178
bgee-skill,bgee-skill,E - INFRASTRUCTURE / DEPLOYMENT,P2,Submit compact Bgee SPARQL requests for healthy wild-type expression metadata and ontology-aware lookup patterns. Use when a user wants concise Bgee summaries; save raw results only on request.,"Use for deployment, hosting, database, cloud, queues, or service integration tasks.",On demand,Low,None obvious,LOW-MEDIUM,shell/package execution,Keep on-demand for infra/deploy,1694
bindingdb-skill,bindingdb-skill,H - IRRELEVANT TO FLOW,P4,"Submit compact BindingDB REST API requests for ligand-target binding lookups by PDB, UniProt, or similarity search. Use when a user wants concise BindingDB summaries; save raw payloads only on request.",No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,shell/package execution,Candidate to disable after approval; review before use with credentials or shell access,2431
biobankjapan-phewas-skill,biobankjapan-phewas-skill,H - IRRELEVANT TO FLOW,P4,"Fetch compact BioBank Japan PheWAS summaries for single variants by accepting rsID, GRCh38, or GRCh37 input and resolving to the required GRCh37 query. Use when a user wants concise BBJ association results for one variant",No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,shell/package execution,Candidate to disable after approval; review before use with credentials or shell access,2437
biorxiv-skill,biorxiv-skill,H - IRRELEVANT TO FLOW,P4,"Submit compact bioRxiv and medRxiv API requests for details, publication-linkage, and DOI lookups. Use when a user wants concise preprint metadata summaries",No clear current Flow use case found.,Unlikely,Medium,None obvious,LOW-MEDIUM,shell/package execution,Candidate to disable after approval; review before use with credentials or shell access,2515
